1 type
93.0008 -109.049 1283.5
93.0021 -109.064 1283.51
93.0028 -109.039 1283.52
93.0064 -109.054 1283.58
93.0098 -109.048 1283.63
93.0128 -109.069 1283.67
94 -109.176 1298.11
94.0011 -109.16 1298.12
94.0025 -109.159 1298.14
94.0035 -109.161 1298.16
94.0043 -109.167 1298.17
94.0089 -109.158 1298.24
94.0098 -109.173 1298.25
95 -109.255 1312.73
95.0007 -109.256 1312.74
95.0019 -109.268 1312.76
95.003 -109.237 1312.78
95.0051 -109.26 1312.81
95.0076 -109.252 1312.84
95.0107 -109.267 1312.89
96 -109.375 1327.36
96.0007 -109.38 1327.36
96.0017 -109.388 1327.38
96.0025 -109.345 1327.39
96.0063 -109.38 1327.45
96.0091 -109.362 1327.49
96.0136 -109.351 1327.55
97 -109.458 1341.98
97.001 -109.431 1341.99
97.0024 -109.477 1342.01
97.0044 -109.428 1342.04
97.0082 -109.477 1342.1
97.0144 -109.455 1342.19
97.0199 -109.467 1342.27
98 -109.557 1356.6
98.0007 -109.547 1356.61
98.0015 -109.555 1356.62
98.0036 -109.528 1356.66
98.0062 -109.555 1356.69
98.0071 -109.543 1356.71
98.0096 -109.532 1356.74
99 -109.632 1371.23
99.0009 -109.681 1371.24
99.0021 -109.636 1371.26
99.0031 -109.654 1371.27
99.0071 -109.67 1371.33
99.0097 -109.628 1371.37
99.0143 -109.652 1371.43
100 -109.738 1385.85
100.001 -109.719 1385.86
100.002 -109.739 1385.87
100.003 -109.751 1385.89
100.005 -109.737 1385.92
100.012 -109.75 1386.03
100.016 -109.738 1386.08
101 -109.827 1400.47
101.001 -109.809 1400.48
101.002 -109.832 1400.5
101.003 -109.832 1400.51
101.005 -109.817 1400.54
101.01 -109.839 1400.61
101.015 -109.826 1400.69
102 -109.94 1415.1
102.001 -109.906 1415.11
102.002 -109.914 1415.12
102.004 -109.911 1415.15
102.006 -109.942 1415.18
102.009 -109.907 1415.23
102.014 -109.935 1415.3
103 -110.005 1429.72
103.001 -110.017 1429.74
103.002 -109.982 1429.75
103.003 -109.988 1429.77
103.006 -110.013 1429.81
103.009 -109.983 1429.85
103.014 -109.998 1429.93
104 -110.101 1444.34
104.001 -110.076 1444.35
104.001 -110.086 1444.37
104.003 -110.084 1444.39
104.005 -110.066 1444.42
104.007 -110.137 1444.44
104.012 -110.089 1444.52
105 -110.209 1458.97
105.001 -110.205 1458.98
105.002 -110.159 1458.99
105.003 -110.181 1459.02
105.007 -110.164 1459.08
105.012 -110.187 1459.14
105.012 -110.17 1459.15
106 -110.283 1473.59
106.001 -110.283 1473.6
106.001 -110.265 1473.61
106.003 -110.294 1473.64
106.007 -110.252 1473.69
106.009 -110.267 1473.72
106.016 -110.259 1473.83
107 -110.356 1488.22
107.001 -110.331 1488.23
107.002 -110.335 1488.24
107.003 -110.36 1488.25
107.006 -110.361 1488.31
107.009 -110.345 1488.34
107.011 -110.354 1488.37
108 -110.419 1502.84
108.001 -110.437 1502.85
108.002 -110.441 1502.86
108.003 -110.429 1502.88
108.004 -110.428 1502.9
108.005 -110.44 1502.92
108.006 -110.432 1502.93
109 -110.532 1517.46
109.001 -110.514 1517.47
109.002 -110.486 1517.49
109.003 -110.515 1517.5
109.004 -110.511 1517.52
109.01 -110.526 1517.61
109.016 -110.508 1517.7
110 -110.633 1532.09
110.001 -110.61 1532.1
110.002 -110.615 1532.11
110.003 -110.598 1532.13
110.007 -110.614 1532.18
110.012 -110.592 1532.26
110.018 -110.609 1532.36
111 -110.692 1546.71
111.001 -110.722 1546.73
111.002 -110.69 1546.74
111.004 -110.679 1546.77
111.008 -110.697 1546.83
111.011 -110.684 1546.87
111.012 -110.71 1546.88
112 -110.775 1561.33
112.001 -110.766 1561.35
112.002 -110.779 1561.37
112.003 -110.753 1561.38
112.005 -110.754 1561.41
112.006 -110.75 1561.43
112.009 -110.732 1561.47
113 -110.863 1575.96
113.001 -110.839 1575.97
113.002 -110.859 1575.98
113.003 -110.865 1576.01
113.006 -110.849 1576.05
113.012 -110.842 1576.14
113.014 -110.858 1576.17
114 -110.938 1590.58
114.001 -110.924 1590.59
114.002 -110.9 1590.61
114.004 -110.914 1590.64
114.007 -110.919 1590.68
114.008 -110.929 1590.7
114.013 -110.948 1590.77
115 -111.032 1605.21
115.001 -111.028 1605.22
115.002 -110.996 1605.24
115.003 -111.012 1605.25
115.006 -110.993 1605.29
115.01 -111.023 1605.36
115.014 -111.01 1605.41
116 -111.093 1619.83
116.001 -111.09 1619.84
116.002 -111.093 1619.86
116.004 -111.085 1619.89
116.005 -111.056 1619.91
116.012 -111.08 1620
116.016 -111.086 1620.06
117 -111.149 1634.45
117.001 -111.144 1634.47
117.002 -111.178 1634.48
117.004 -111.153 1634.51
117.007 -111.13 1634.56
117.013 -111.192 1634.65
117.02 -111.199 1634.75
118 -111.234 1649.08
118.001 -111.236 1649.09
118.002 -111.254 1649.1
118.003 -111.212 1649.11
118.005 -111.229 1649.15
118.01 -111.232 1649.22
118.012 -111.246 1649.25
119 -111.312 1663.7
119.001 -111.305 1663.71
119.002 -111.321 1663.74
119.004 -111.319 1663.76
119.007 -111.288 1663.8
119.008 -111.313 1663.81
119.01 -111.333 1663.85
120 -111.394 1678.32
120.001 -111.399 1678.33
120.002 -111.396 1678.35
120.002 -111.418 1678.36
120.004 -111.395 1678.38
120.006 -111.387 1678.41
120.013 -111.394 1678.52
121 -111.452 1692.95
121.001 -111.471 1692.96
121.002 -111.468 1692.98
121.003 -111.475 1693
121.005 -111.461 1693.03
121.013 -111.477 1693.13
121.015 -111.483 1693.16
122 type
123 type
124 type
125 type
